"111153";"264 cvičení na velkém míči";"Helena Jarkovská";"Grada";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111153.jpg";"0";"Po velkém úspěchu první knihy o cvičení na velkém míči autorka vybrala a uspořádala 264 cviků vhodných pro posilování problémových partií a protahování zkrácených svalů..."
"111170";"Time to Talk 3 - CD Audio";;"Polyglot";"0000";"http://www.martinus.sk/data/tovar/_m/111/m111170.jpg";"0";"Pět CD namluvených rodilými mluvčími, které doplňují učebnici, jsou výsledkem práce anglických lektorů – rodilých mluvčí, kteří v nahrávkách simulují reálné životní situace..."
"111248";"Pronajatá krajina";"Petr Sklenička";"Centrum pro krajinu";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111248.jpg";"0";"Knížka je souborem příběhů, fejetonů a esejů o krajině a lidech, kteří v ní žijí. Většinou jde o texty dosud nepublikované, jen několik z nich vyšlo v Lidových novinách, v týdenících Ekonom a Euro nebo v časopise Ochrana přírody."
"111249";"Cesta";"H.G. Adler";"Barrister & Principal";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111249.jpg";"0";"Román Cesta je kritikou považován za jedno z nejranějších a umělecky nejvytříbenějších zpracování tematiky koncentračních táborů. Přestože vznikal již v letech 1950 - 1951, je napsán stylem, jenž by se dnes dal nazvat magickým realismem..."
"111250";"Ghost in the Wires";"Kevin Mitnick";"Little, Brown";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111250.jpg";"0";"Kevin Mitnick, the world's most wanted computer hacker, managed to hack into some of the country's most powerful - and seemingly impenetrable - agencies and companies..."
"111251";"Ještě jsi";"Milan Šťastný";"Literární salon";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111251.jpg";"0";"Ve druhé sbírce Ještě jsi Milan Šťastný ohledává hranici mezi vesnicí a městem. Idyla, jejíž nedílnou součástí je smířlivě přijímané velebné tragično přesahující obyčejného člověka, kontrastuje s nepokojem, který na sebe rád bere masku osudovosti..."
"111252";"Mariotovi dediči: Prekliatie";"Marja Holecyová";"Vydavateľstvo Fragment";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111252.jpg";"5";"Láska Mije a Mieseaga, ktorú sa snažili skryť pred očami verejnosti, je podrobená skúške. Rozhodujúca bitka sa neodvratne blíži. Uprednostní Miseag lásku k Miji alebo nakoniec predsa len podľahne moci Knihy odpovedí?..."
"111253";"Mafie v Praze";"Michal Viewegh";"Druhé město";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111253.jpg";"4";"Nový román od Michala Viewegha - literární thriller napsán ve spolupráci se známým investigativním novinářem MF Dnes Jaroslavem Kmentou..."
"111254";"Nalomenou";"Wanda Heinrichová";"Literární salon";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111254.jpg";"0";"Básnická sbírka Nalomenou vybízí k otevření už svým gramaticky vychýleným titulem: prvním slovem parafráze biblického citátu, která knihu \"prošívá\" v podobě názvů tří oddílů."
"111255";"Obsidiánoví šílenci";"Jan Riedlbauch";"Literární salon";"2011";"http://www.martinus.sk/data/tovar/_m/111/m111255.jpg";"0";"Struktura Obsidiánových šílenců, první autorské sbírky Jana Riedlbaucha, je založena na napětí mezi dlouhými cykly strhujícími svou neklidnou fantaskností a expresivitou a křehkou přírodní lyrikou."
